task#,layer,top1,top1_logit,top2,top2_logit,top3,top3_logit,top4,top4_logit,top5,top5_logit
1,23, UICollectionViewCell,13.000,:`~,12.875, Option,12.812, AssertionError,12.688, False,12.125
1,24, Option,13.375, NotImplemented,13.312, None,13.188, UICollectionViewCell,12.875, [[',12.500
1,25, Option,12.250,:C,12.000, whichever,11.312,:d,11.188, None,10.750
1,26, neither,13.250, NONE,12.438, None,12.438, whichever,11.938, Option,11.812
1,27, neither,12.125, NONE,12.062,:C,11.750,:d,11.250,:c,11.188
1,28, None,13.500, neither,13.312, NONE,13.125,_none,12.625,:c,12.062
1,29, None,14.062,:C,13.812,:B,13.375, A,13.188, B,12.750
1,30, C,20.750,:C,19.000, D,18.125,:c,15.125, B,14.625
1,31, C,19.875, B,17.625,:C,16.875, D,16.375,:B,15.062
1,32, C,18.375, D,17.125, B,15.875, False,14.000,:C,13.438
1,33, C,21.125, D,17.625, B,17.500, A,13.938,:C,13.562
1,34, C,23.250, B,19.875, D,19.375, A,16.250, False,15.312
1,35, C,17.625, B,16.000, D,14.875, A,13.938, False,12.438
1,36, C,45.750, D,44.250, B,44.000, A,42.500, Q,37.000
2,0, Дмитр,21.875, Почем,19.875, volume,16.750, Алексан,16.375, volum,16.250
2,1,otope,17.375, Bannon,15.812, Escorts,15.562,nç,15.062, Buccane,15.000
2,2, Hentai,18.375, Buccane,18.000,代言人,17.000, Sesso,16.875, clientele,16.625
2,3, Buccane,15.875, commissioner,15.812,代言人,15.750,本场比赛,15.500,.then,14.938
2,4,妊,15.375, lesbische,14.688,antwort,14.688,htar,14.625,加分,14.250
2,5,htar,13.438,omers,12.062,加分,11.875,erc,11.688,plement,11.688
2,6,/w,12.250,otope,11.875, likely,11.125,htar,10.625,日起,10.125
2,7,otope,12.000,/w,11.250, NOT,10.625,erc,10.500, somewhere,10.438
2,8,与否,11.812,otope,11.688, meant,11.312,/w,11.000, undoubtedly,10.875
2,9,/w,12.938,otope,11.812,abella,11.750,/is,11.688,与否,11.500
2,10,abella,12.375,/w,11.938,/is,11.375,eração,11.000,:,10.750
2,11,/w,12.000,abella,12.000,:,10.812,/un,10.625,eração,10.375
2,12,/w,13.188,:,11.438,/is,11.125,abella,11.125,珉,9.562
2,13,/w,12.188,/is,11.688,abella,11.125,ellas,10.750, neither,10.438
2,14,/w,12.375,abella,11.625,/is,11.312, none,11.000,:,10.812
2,15,/w,11.062,ccione,10.938,VERTISEMENT,10.938,/is,10.500, jedoch,10.312
2,16,VERTISEMENT,11.938,ccione,11.750, NONE,11.312,/is,11.062, indeed,11.000
2,17,ccione,12.875,VERTISEMENT,12.625,的答案,11.188, unequiv,11.062,/is,10.875
2,18,的答案,12.625, Answer,12.000,ccione,11.062,:,10.625,:none,10.500
2,19,的答案,15.562,ccione,13.875,当之无愧,13.375,哪一个,12.375,无疑是,12.250
2,20,:none,14.125,当之无愧,13.562,ccione,13.500,哪一个,12.688, NONE,12.688
2,21, whichever,13.188,当之无愧,13.125, indeed,12.938, NONE,12.875,ccione,12.500
2,22, Option,12.438, NotImplemented,12.188, NONE,12.125, Incorrect,12.125,_correct,12.062
2,23, False,13.750, None,13.000, NotImplemented,12.812, Incorrect,12.812,:none,12.562
2,24, None,15.250, NotImplemented,14.062, NONE,13.250,:none,13.062, False,13.062
2,25, whichever,13.688, neither,13.438, None,13.188, Option,12.688, NONE,12.188
2,26, neither,16.625, whichever,15.875, None,15.312, NONE,15.062, none,13.750
2,27, neither,15.750, NONE,14.812, None,13.812, none,12.812, whichever,12.688
2,28, neither,16.750, None,16.375, NONE,16.125,_none,14.938, none,14.812
2,29, None,17.500, none,15.250, NONE,15.125, B,14.562, neither,14.188
2,30, D,19.125, B,16.750, None,15.000,:B,14.250, neither,13.750
2,31, B,17.375, D,16.375,:B,13.562, None,12.812, A,12.688
2,32, B,18.000, D,17.375,:B,13.188, A,11.562, C,11.500
2,33, B,19.500, D,17.875, A,12.750, C,12.625,:B,12.312
2,34, B,22.625, D,21.250, A,16.500, C,14.812,B,11.938
2,35, B,19.125, D,17.625, A,14.562, C,13.625,B,10.688
2,36, D,47.000, B,47.000, A,43.250, C,42.000, E,37.750
3,0, Дмитр,21.875, Почем,19.875, volume,16.750, Алексан,16.375, volum,16.250
3,1,otope,17.375, Bannon,15.875, Escorts,15.688, Buccane,15.125, Sesso,15.125
3,2, Hentai,18.375, Buccane,18.000,代言人,17.375, lesbische,16.875, Sesso,16.875
3,3,代言人,16.125, Buccane,16.125, commissioner,16.125,本场比赛,15.875,.then,15.375
3,4,妊,15.688, lesbische,15.062,htar,15.000,antwort,14.875,本场比赛,14.750
3,5,htar,13.312,omers,12.125,uggestions,12.125,erc,11.875,plement,11.688
3,6,/w,12.312,otope,11.812, likely,10.688,htar,10.375,nt,10.000
3,7,otope,11.625,/w,11.312, somewhere,10.750,erc,10.688, NOT,10.625
3,8,与否,11.812,otope,11.312, meant,11.250,/w,11.250, undoubtedly,10.562
3,9,/w,13.125,abella,12.000,/is,11.875,与否,11.375,otope,11.375
3,10,abella,12.875,/w,12.125,/is,11.500,eração,11.375,:,11.000
3,11,abella,12.875,/w,12.250,/is,11.062,:,11.062,eração,10.938
3,12,/w,13.125,abella,11.938,:,11.625,/is,11.438,geber,10.188
3,13,/w,12.438,/is,12.188,abella,11.938,ellas,11.688,:,10.812
3,14,/w,12.812,abella,12.375, none,11.312,/is,11.250,:,11.250
3,15,/w,11.938,ccione,11.438, undoubtedly,10.875,VERTISEMENT,10.812, neither,10.750
3,16,ccione,12.250,VERTISEMENT,12.188, NONE,11.688, neither,11.438,vier,11.188
3,17,ccione,13.688,VERTISEMENT,12.750, neither,11.875, unequiv,11.188,:,11.062
3,18,ccione,11.625,:,11.312, Answer,10.812, neither,10.625,:\n\n,10.625
3,19,的答案,15.125,ccione,14.062, undoubtedly,12.875, Answer,12.688,ansa,12.625
3,20,ccione,14.312, undoubtedly,12.438,:none,12.375,当之无愧,12.125, whichever,12.125
3,21, whichever,13.250, NONE,13.125,ccione,13.000, undoubtedly,12.625, indeed,12.125
3,22, NONE,12.688, Resolver,12.312,バン,12.125,""",__",12.000, Option,12.000
3,23, UICollectionViewCell,12.438,:`~,12.188, False,12.000,:@{,11.938, Option,11.875
3,24, UICollectionViewCell,12.562, NotImplemented,12.562, None,12.562, Option,12.438,仅供参考,11.438
3,25,:d,12.625, Option,11.500,:D,11.000, NotImplemented,10.500, None,10.500
3,26, neither,12.250,:d,12.125, None,12.062, NONE,11.562, Option,11.188
3,27,:d,12.250, NONE,11.375, neither,11.188,:D,10.750,:A,10.688
3,28, None,12.750, neither,12.375, NONE,12.188,:d,11.938,_none,11.750
3,29, A,14.375, B,14.062, None,13.375,:B,13.062,:A,12.562
3,30, D,19.500, C,16.625, B,15.312,:C,15.250, A,13.812
3,31, B,18.000, D,17.125, C,16.250,:B,14.688, False,13.875
3,32, D,18.875, B,17.625, C,15.875, False,14.812,:B,13.438
3,33, D,19.500, B,19.125, C,17.750, A,14.500,:B,13.125
3,34, D,22.125, B,22.000, C,19.750, A,17.500, False,16.500
3,35, B,17.250, D,16.625, C,16.000, A,14.438, False,14.000
3,36, D,46.000, B,45.500, C,44.000, A,43.250, False,37.500
4,0, Дмитр,21.875, Почем,19.875, volume,16.750, Алексан,16.375, volum,16.250
4,1,otope,17.375, Bannon,15.875, Escorts,15.625,htar,15.125, Sesso,15.125
4,2, Hentai,18.250, Buccane,18.000,代言人,17.125, Sesso,17.000, lesbische,16.750
4,3, Buccane,16.000, commissioner,15.938,代言人,15.875,本场比赛,15.500,.then,15.312
4,4,妊,15.438,htar,15.000, lesbische,14.812,antwort,14.750,本场比赛,14.375
4,5,htar,13.438,omers,12.312,uggestions,12.062,plement,12.000,erc,11.750
4,6,/w,12.250,otope,12.125, likely,10.875,htar,10.688,omers,10.125
4,7,otope,11.875,/w,11.312, somewhere,10.750,erc,10.625, NOT,10.562
4,8,与否,11.750,otope,11.562, meant,11.250,/w,11.250, undoubtedly,10.625
4,9,/w,13.188,abella,12.125,/is,11.938,otope,11.625,:,11.438
4,10,abella,12.750,/w,12.312,/is,11.688,eração,11.250,:,11.000
4,11,abella,12.750,/w,12.500,:,11.375,/is,11.188,/un,10.812
4,12,/w,13.375,/is,11.938,abella,11.875,:,11.562, Answer,10.375
4,13,/w,12.812,/is,12.625,ellas,12.188,abella,11.688,:,10.812
4,14,/w,12.938,abella,12.000,/is,11.438, none,11.438,:,11.125
4,15,/w,12.000,ccione,11.375, undoubtedly,11.188, NONE,10.938,VERTISEMENT,10.750
4,16, NONE,12.000,VERTISEMENT,11.938,ccione,11.625, undoubtedly,11.438,/is,11.250
4,17,ccione,14.188,VERTISEMENT,12.438, unequiv,11.500, undoubtedly,11.500,:,11.500
4,18,ccione,11.750,:,11.250, Answer,11.000,的答案,10.688,:\n\n,10.688
4,19,的答案,15.000,ccione,13.688,当之无愧,13.312, undoubtedly,12.875, Answer,12.875
4,20,当之无愧,13.250,ccione,13.188, undoubtedly,12.562,:none,12.062, whichever,11.562
4,21, ../../,12.938,当之无愧,12.500, undoubtedly,12.500, NONE,12.312,ccione,12.188
4,22, Resolver,12.938, Option,12.500,""",__",12.438,_IOC,12.375, [[',12.375
4,23, AssertionError,12.688, UICollectionViewCell,12.375,:`~,12.375, Neuroscience,12.125, Option,12.000
4,24, UICollectionViewCell,12.000, Option,11.938, [[',11.562, None,11.562, AssertionError,11.438
4,25,:d,14.438, D,14.062,:D,13.250, Option,11.875,:A,11.500
4,26,:d,13.000,:D,12.500, D,12.000, Option,11.688,:A,11.625
4,27,:d,12.625, Ashley,12.312, D,12.250,:D,12.125,:A,12.062
4,28,:d,12.125, None,11.000, D,11.000, ℝ,10.938, Ashley,10.750
4,29, A,15.438,:A,14.312,:B,11.562, None,11.500, D,11.375
4,30, D,20.750, A,16.000,:D,14.250,:A,14.188, C,13.938
4,31, D,17.875, A,15.562, B,15.062, C,13.750,:A,12.375
4,32, D,20.375, A,15.438, C,13.625,_d,13.562,D,13.438
4,33, D,20.250, A,19.500, C,14.438, B,14.188,D,12.562
4,34, D,22.500, A,20.500, B,17.000, C,15.750,D,14.312
4,35, D,17.500, A,16.125, B,14.625, C,13.688, False,11.500
4,36, D,45.250, A,43.750, B,40.750, C,39.500, E,32.750
5,0, Дмитр,21.875, Почем,19.875, volume,16.750, Алексан,16.375, volum,16.250
5,1,otope,17.500, Bannon,15.750, Escorts,15.562,nç,15.062, Sesso,14.938
5,2, Hentai,18.250, Buccane,18.000,代言人,17.375, clientele,16.625, Sesso,16.375
5,3,代言人,16.375, commissioner,16.125, Buccane,15.938,本场比赛,15.625,.then,15.500
5,4,妊,15.500, lesbische,14.875,ijken,14.812,加分,14.750,antwort,14.750
5,5,htar,13.062,加分,12.562,omers,11.875,plement,11.750,uggestions,11.688
5,6,/w,12.188,otope,11.812, likely,11.000,htar,10.625,日起,10.438
5,7,otope,11.812,/w,11.312, somewhere,10.875, meant,10.812, NOT,10.625
5,8,与否,11.875, meant,11.812,otope,11.250,/w,11.000, undoubtedly,10.750
5,9,/w,12.938,abella,12.000,与否,11.625,/is,11.625,otope,11.312
5,10,abella,12.438,/w,11.688,/is,11.125,eração,11.062,:,11.000
5,11,abella,12.438,/w,11.750,:,10.812,eração,10.562,/is,10.562
5,12,/w,13.188,/is,12.125,abella,12.000,:,10.875, Answer,10.438
5,13,/w,12.375,abella,11.625,/is,11.625,ellas,10.812, Answer,10.812
5,14,/w,12.312,abella,12.312,/is,11.125,:,11.125, none,10.812
5,15,/w,11.750,ccione,11.312, jedoch,11.062,当之无愧,10.750, undoubtedly,10.688
5,16,ccione,12.062,VERTISEMENT,11.875,当之无愧,11.312,以下几个,11.312,abella,11.250
5,17,VERTISEMENT,12.750,ccione,12.750,/w,12.000,以下几个,11.312, alphabetical,11.125
5,18,的答案,13.500,ccione,11.250, Answer,11.250,哪一个,11.188,uffix,10.750
5,19,的答案,16.750,ccione,13.812,哪一个,13.688,当之无愧,13.625,无疑是,12.188
5,20,ccione,13.625,哪一个,12.562,当之无愧,12.562,:none,12.188,的答案,12.125
5,21,当之无愧,12.500, ../../,12.438,ccione,12.375, Correct,12.125, indeed,11.938
5,22, [[',12.625, Incorrect,12.062, ../../,11.938,_correct,11.812,民检察院,11.750
5,23,:`~,13.688,网友们,12.125,../../../../,11.938,👇,11.812, Answer,11.688
5,24, None,13.312, [[',12.188, NotImplemented,11.812, Answer,11.188, Option,11.000
5,25, None,11.438, XYZ,11.312, whichever,11.062, neither,11.062, NotImplemented,10.625
5,26, neither,14.875, None,14.500, NONE,13.000, whichever,12.938, none,12.875
5,27, neither,14.625, NONE,13.000, none,12.500, None,12.500,none,11.375
5,28, neither,16.625, None,15.312, none,13.938, NONE,13.625,\tNone,13.562
5,29, None,17.125, none,14.750,\tNone,13.688, B,13.375, A,13.375
5,30, C,16.375, B,16.250, None,14.250,:C,13.375, none,13.375
5,31, B,17.500, C,14.750,:B,12.688,Ｂ,12.062, A,12.062
5,32, B,18.625, C,14.125,:B,12.375,\tB,11.875,_B,11.688
5,33, B,19.875, C,15.500, A,13.312, D,11.812, obtained,11.750
5,34, B,22.750, C,18.000, A,16.250, D,15.562,B,13.750
5,35, B,17.125, C,15.000, A,13.500, D,13.000,B,10.438
5,36, B,39.250, C,38.250, A,37.000, D,36.500,游戏副本,34.500
6,0, Дмитр,21.875, Почем,19.875, volume,16.750, Алексан,16.375, volum,16.250
6,1,otope,17.375, Bannon,15.812, Escorts,15.562, Buccane,15.125, Sesso,15.125
6,2, Hentai,18.500, Buccane,18.125,代言人,17.375, lesbische,16.875, Sesso,16.875
6,3, Buccane,16.125,代言人,16.125, commissioner,15.938,本场比赛,15.625,.then,15.375
6,4,htar,15.062,妊,15.062, lesbische,15.000,antwort,14.938,本场比赛,14.625
6,5,htar,13.312,加分,12.125,omers,12.125,plement,11.875,uggestions,11.812
6,6,/w,12.375,otope,12.062, likely,10.875,htar,10.562,nt,10.188
6,7,otope,11.875,/w,11.250, somewhere,10.875, NOT,10.688,erc,10.500
6,8,与否,12.000,otope,11.438, meant,11.250,/w,11.188, undoubtedly,10.625
6,9,/w,13.062,/is,12.000,abella,11.875,与否,11.625,:,11.375
6,10,abella,12.625,/w,12.062,/is,11.688,eração,11.438,:,10.875
6,11,abella,12.500,/w,12.375,/is,11.125,:,11.000,eração,10.812
6,12,/w,13.375,/is,11.938,abella,11.688,:,11.250,geber,10.312
6,13,/w,12.938,/is,12.875,ellas,12.188,abella,11.562, undoubtedly,10.750
6,14,/w,13.125,abella,11.812,/is,11.812, none,11.312,:,11.312
6,15,/w,11.875,ccione,11.312, undoubtedly,11.000,/is,10.812, NONE,10.750
6,16,ccione,12.062,VERTISEMENT,12.000, NONE,11.750,/is,11.375,vier,11.250
6,17,ccione,14.062,VERTISEMENT,12.125, unequiv,11.562,:,11.562, undoubtedly,11.188
6,18, Answer,12.000,ccione,12.000,:,11.438,:\n\n,10.812,的答案,10.625
6,19,的答案,14.688,ccione,13.938, Answer,13.438,当之无愧,12.938, undoubtedly,12.875
6,20,ccione,13.875, undoubtedly,13.188,当之无愧,12.750,:none,11.812, Yes,11.750
6,21, undoubtedly,13.062, whichever,13.000, Yes,13.000,ccione,12.625, indeed,12.562
6,22, [[',12.875, Option,12.875, Resolver,12.625,バン,12.062,""",__",11.938
6,23, False,12.750, UICollectionViewCell,12.688,:`~,12.562, Option,12.375, Neuroscience,12.188
6,24, Option,12.688, None,12.688, UICollectionViewCell,12.625, [[',12.188, NotImplemented,12.000
6,25,:d,13.125, Option,12.438, D,12.000,:D,11.625, whichever,10.625
6,26, Option,12.375,:d,12.250, neither,12.250, None,12.000,:D,11.625
6,27,:d,12.438, D,11.812,:D,11.625, NONE,11.250, neither,11.000
6,28, None,12.875, NONE,12.312,:d,11.562, neither,11.562,_none,11.312
6,29, A,14.438, None,13.625,:A,13.125,:B,12.750, B,12.625
6,30, D,20.000, C,17.125,:C,15.812, A,15.438, B,14.438
6,31, D,18.000, B,17.000, C,16.875, A,15.250, False,14.125
6,32, D,20.000, C,15.812, False,15.062, B,14.938, A,13.562
6,33, D,19.750, C,16.875, B,15.938, A,15.688, False,12.750
6,34, D,22.250, C,19.500, B,19.375, A,18.750, False,17.625
6,35, D,17.125, B,16.250, C,16.125, A,15.438, False,14.438
6,36, D,47.000, A,45.000, C,45.000, B,44.750, False,38.000
7,0, Дмитр,21.875, Почем,19.875, volume,16.750, Алексан,16.375, volum,16.250
7,1,otope,17.375, Bannon,15.812, Escorts,15.562,nç,15.125, Sesso,15.125
7,2, Hentai,18.250, Buccane,17.875, Sesso,17.000,代言人,16.875, clientele,16.500
7,3, commissioner,15.688,代言人,15.688, Buccane,15.625,本场比赛,15.438,.then,15.188
7,4,妊,15.312,htar,14.875, lesbische,14.750,antwort,14.625,本场比赛,14.438
7,5,htar,13.250,omers,12.125,uggestions,12.000,erc,11.938,plement,11.625
7,6,/w,12.000,otope,11.688, likely,10.688,htar,10.375,omers,9.938
7,7,otope,11.562,/w,11.000, somewhere,10.688, NOT,10.438,erc,10.438
7,8,与否,11.625,otope,11.250, meant,11.250,/w,10.812, undoubtedly,10.562
7,9,/w,12.875,abella,11.875,/is,11.812,otope,11.438,:,11.438
7,10,abella,12.812,/w,12.188,/is,11.500,:,11.312,eração,11.000
7,11,abella,12.688,/w,12.188,:,11.250,/is,10.812,/un,10.688
7,12,/w,13.250,abella,12.000,/is,11.500,:,11.500,geber,10.125
7,13,/w,12.625,/is,12.500,ellas,12.438,abella,11.875,ivant,11.312
7,14,/w,12.625,abella,12.438,ellas,11.938,:,11.625,/is,11.562
7,15,/w,11.750,ccione,11.250,的答案,10.750,:,10.688, neither,10.625
7,16,ccione,12.188,VERTISEMENT,11.625,/is,11.250, NONE,11.188, neither,10.938
7,17,ccione,14.125,VERTISEMENT,12.062, unequiv,11.562,/is,11.188, neither,11.125
7,18,ccione,12.250, Answer,11.750,的答案,11.250,:,11.000,:\n\n,10.438
7,19,的答案,15.625,ccione,14.188, Answer,13.375,当之无愧,12.688, undoubtedly,12.688
7,20,ccione,14.812, whichever,12.688, undoubtedly,12.562,当之无愧,12.000, unequiv,11.812
7,21,ccione,13.500, whichever,13.375, undoubtedly,12.750, Yes,12.375, unanimous,12.312
7,22, Option,12.750,""",__",12.062, [[',12.062, whichever,12.062, NotImplemented,12.000
7,23, Option,12.812,:`~,12.562, Answer,12.438, NotImplemented,12.438, Neuroscience,12.125
7,24, whichever,13.312, NotImplemented,13.250, Option,13.000, Answer,12.438, None,12.062
7,25,:C,13.250, whichever,12.438, Celsius,11.750,:c,11.438, Option,11.188
7,26, whichever,13.438, neither,12.500,:C,12.375, NONE,11.875, None,11.875
7,27,:C,12.125, neither,11.625,:c,11.562, NONE,11.375, Workspace,11.062
7,28, None,12.750,:c,12.250, neither,12.250,_none,11.875, NONE,11.812
7,29,:C,14.000, None,13.062,:A,12.438, A,12.375, C,12.125
7,30, C,20.250,:C,19.250,:c,14.688, D,14.125, A,13.562
7,31, C,19.000,:C,16.500,:c,13.750, B,13.375, A,13.000
7,32, C,17.875,:C,13.562, D,12.938, B,11.625, A,11.562
7,33, C,20.250, A,15.312,:C,14.188, D,13.250, B,13.000
7,34, C,23.625, A,18.750, B,17.125, D,16.500, True,14.938
7,35, C,18.750, A,15.188, B,14.562, D,13.000,C,11.812
7,36, C,46.750, A,43.750, B,41.750, D,41.500, True,33.500
8,0, Дмитр,21.875, Почем,19.875, volume,16.750, Алексан,16.375, volum,16.250
8,1,otope,17.375, Bannon,15.875, Escorts,15.688,nç,15.125, Sesso,15.062
8,2, Hentai,18.125, Buccane,18.125,代言人,17.375, lesbische,16.625, Sesso,16.500
8,3,代言人,16.250, Buccane,16.125,本场比赛,15.688, commissioner,15.562,.then,15.188
8,4,妊,15.500,htar,15.000,antwort,15.000, lesbische,14.812,本场比赛,14.625
8,5,htar,13.812,omers,12.625,加分,12.312,otope,11.875,/w,11.812
8,6,/w,12.938,otope,12.500, likely,11.125,htar,11.000,omers,10.562
8,7,otope,12.125,/w,11.750, somewhere,11.000, NOT,10.938, meant,10.750
8,8,与否,12.438,otope,11.625, meant,11.625,/w,11.438, undoubtedly,11.188
8,9,/w,13.375,/is,12.188,abella,12.125,与否,11.875,:,11.312
8,10,abella,13.000,/w,12.125,/is,11.562,:,11.375,eração,11.312
8,11,abella,13.000,/w,12.312,:,11.438,/un,10.875,/is,10.750
8,12,/w,13.375,abella,12.312,/is,11.750,:,11.750,-built,10.375
8,13,/w,13.125,ellas,12.438,/is,12.438,abella,11.812,ivant,11.500
8,14,/w,13.125,:,12.062,/is,12.000,abella,11.688, none,11.562
8,15,/w,12.562,ccione,11.250,/is,10.875,:,10.812,这几个,10.688
8,16,ccione,11.750,/w,11.625,/is,11.188,正确的,11.000,以下几个,10.875
8,17,ccione,13.188,/is,11.625,/w,11.625,VERTISEMENT,11.625,以下几个,11.562
8,18,的答案,12.250,哪一个,11.375,:\n\n,11.312,:,11.125,ccione,11.000
8,19,的答案,15.938,哪一个,13.500,ccione,13.375,当之无愧,13.250,无疑是,12.188
8,20,哪一个,12.625, whichever,12.562,ccione,12.438,:none,11.938,以下几个,11.625
8,21, whichever,11.438,当之无愧,11.125,/password,10.875, $__,10.875, Option,10.875
8,22, Option,12.750,<Any,12.062,""",__",11.500, [[',11.500,バン,11.438
8,23, Option,12.625,:`~,12.438,:Event,12.312, Explanation,12.188,玩家朋友,11.938
8,24, None,13.250, whichever,12.938, Option,12.688, [[',11.500, Neither,11.125
8,25, whichever,13.000,:C,12.875, Option,12.375, Celsius,11.500, Conditional,11.438
8,26, whichever,14.938, None,13.188, neither,13.125, Option,12.625,:C,12.062
8,27,:c,12.875,:C,12.625, neither,12.375, None,11.500, whichever,11.375
8,28, neither,14.250, None,13.875,:c,12.625, whichever,12.125, NONE,11.750
8,29, None,15.000, A,13.875,:C,13.438, C,13.375,:A,12.812
8,30, C,22.625,:C,19.625,:c,16.125, A,15.125, None,13.125
8,31, C,21.625,:C,17.375, B,14.938,:c,14.500, A,14.500
8,32, C,19.875,:C,13.812, B,13.125,C,12.438, A,12.375
8,33, C,21.500, A,14.812, B,14.688,:C,13.125,C,12.812
8,34, C,24.750, B,18.375, A,18.375,C,14.938, D,14.000
8,35, C,19.125, B,15.562, A,15.250, D,12.125,C,11.812
8,36, C,46.000, A,42.750, B,41.750, D,38.500, G,33.500
9,0, Дмитр,21.875, Почем,19.875, volume,16.750, Алексан,16.375, volum,16.250
9,1,otope,17.250, Bannon,15.750, Escorts,15.500,nç,15.062, Buccane,15.000
